user,nemo,wx,snow,us,nyc,travel,boston,nywx,emcomm,mawx,ma,snowstorm,ny,traffic,ct,njwx,mastorm,emergency,storm
JNW218,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SurvivalDriven,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SurvivalWire,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wx_Mississauga,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ElyBahiana,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MidtownCourt,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Henry861988,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AtmosNews,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DHSgov,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LLIS,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kirstinj131,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
getmeoutnews,5,6,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,2,0
sct_r,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chris_Frailey,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SouthernRedRose,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g1159bw,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9dognight,4,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AnaheimCERT,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
davidleegeorge,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
abqDean,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
katherinegill,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
onthesafeside,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WXCI,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
flyingwithfish,2,4,2,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0
